Name,Unknown
Afghanistan,Kabul
Albania,Tirane
Algeria,Algiers
American Samoa,Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,
Botswana,
Brazil,
British Virgin Islands,
Brunei Darussalam,
Bulgaria,
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comros,
Congo,
Costa Rica,
Cote d'Ivoire,
Croatia,
Cuba,
Cyprus,
Czech Republic,
Democratic People's Republic of,
Democratic Republic of the Congo,
Denmark,
Djibouti,
Dominica,
Dominica Republic,
East Timor,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,
Ethiopia,
Falkland Islands (Malvinas),
Faroe Islands,
Fiji,
Finland,
France,
French Guiana,
French Polynesia,
Gabon,
Gambia,
Georgia,
Germany,
Ghana,
Greece,
Greenland,
Guadeloupe,
Guatemala,
Guernsey,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hungary,
Iceland,
India,
Indonesia,
Iran (Islamic Republic of),
Iraq,
Ireland,
Israel,
Italy,
Jamaica,
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Lao People's Democratic Republic,
Latvia,
Lebanon,
Lesotho,
Liberia,
Libyan Arab Jamahiriya,
Liechtenstein,
Lithuania,
Luxembourg,
"Macao, China",
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Martinique,
Mauritania,
Mayotte,
Mexico,
Micronesia (Federated States of),
"Moldova, Republic of",
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,
Netherlands Antilles,
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Norfolk Island,
Northern Mariana Islands,
Norway,
Oman,
Pakistan,
Palau,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,
Portugal,
Puerto Rico,
Qatar,
Republic of Korea,
Romania,
Russian Federation,
Rawanda,
Saint Kitts and Nevis,
Saint Lucia,
Saint Pierre and Miquelon,
Saint vincent and the Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Sierra Leone,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
Spain,
Sudan,
Suriname,
Swaziland,
Sweden,
Switzerland,
Syrian Arab Republic,
Tajikistan,
Thailand,
The Former Yugoslav Republic of Macedonia,
Togo,
Tonga,
Tunisia,
Turkey,
Turkmenistan,
Tuvalu,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom of Great Britain and Northern Ireland,
United Republic of Tanzania,
United States of America,
United States of Virgin Islands,
Uruguay,
Uzbekistan,
Vanuatu,
Venezuela,
Viet Nam,
Yugoslavia,
Zambia,
Zimbabwe,
